justiceName,LiberalPct,GOP
ACBarrett,34.31372549019608,1
AFortas,82.47978436657681,0
AJGoldberg,91.05058365758755,0
AMKennedy,36.97429906542068,1
AScalia,27.173287276914206,1
BMKavanaugh,37.07865168539325,1
BRWhite,44.75174941686127,0
CEWhittaker,47.71241830065359,1
CThomas,23.31639135959338,1
DHSouter,58.26330532212894,1
EKagan,66.86159844054582,0
EWarren,80.47079337401915,1
FFrankfurter,55.50061804697158,0
FMurphy,80.64516129032256,0
FMVinson,37.22222222222224,0
HABlackmun,51.34315424610041,1
HHBurton,39.102564102564116,0
HLBlack,73.85241138872732,0
JGRoberts,38.295165394402076,1
JHarlan2,44.18789808917202,1
JPStevens,64.39274447949514,1
KBJackson,77.41935483870968,0
LFPowell,37.484035759897885,1
NMGorsuch,42.72727272727272,1
PStewart,54.56642066420656,1
RBGinsburg,63.58253145817911,0
RHJackson,41.22340425531915,0
SAAlito,27.105263157894736,1
SDOConnor,33.99098083427283,1
SFReed,36.19631901840491,0
SGBreyer,60.16320474777457,0
SMinton,36.58536585365854,0
SSotomayor,70.52810902896077,0
TCClark,46.76190476190475,0
TMarshall,81.57669237360756,0
WBRutledge,74.45652173913041,0
WEBurger,29.84144960362397,1
WHRehnquist,21.175611537057346,1
WJBrennan,79.99999999999999,1
WODouglas,87.76671408250363,0
