name,score,civrts
Black,.75,73.900002
Blackmun,-.76999998,52.299999
Brennan,1,79.5
Burger,-.76999998,29.6
Burton,-.44,38.900002
Clark,0,43.799999
Douglas,.46000001,88.400002
Fortas,1,81
Frankfurter,.33000001,53.799999
Goldberg,.5,88.900002
Harlan,.75,43.700001
Jackson,1,40.400002
Kennedy,-.27000001,35.099998
Marshall,1,81.400002
Minton,.44,36.799999
Murphy,1,80
OConnor,-.17,34.099998
Powell,-.67000002,37.400002
Reed,.44999999,35.099998
Rehnquist (AJ),-.91000003,22.5
Rehnquist (CJ),-.91000003,19.799999
Rutledge,1,77.199997
Scalia,-1,30.200001
Souter,-.34,47.599998
Stevens,-.5,62
Stewart,.5,51.299999
Thomas,-.68000001,28.299999
Vinson,.5,36.700001
Warren,.5,78.5
White,0,42.400002
Whittaker,0,43.299999
