Term,female,respond806,lawreview,white,top5law,lcclerk,partyid,GOP,SCscore,probithat,GOPclerk
1953,0,33.333336,100,100,44.444447,12.5,-.60000002,20,.70187503,18.506939,20.660761
1954,0,41.176472,100,100,64.705887,44.444447,-.33333334,33.333336,.6752941,19.524788,28.449696
1955,0,47.058823,100,100,76.470589,41.666664,-.71428573,14.285715,.69176471,18.049591,15.07789
1956,0,22.222223,83.333328,100,55.555557,20,-.5,25,.69361115,17.72398,23.246973
1957,0,52.941177,100,100,58.823532,30.000002,-.25,37.5,.67617649,18.955473,33.638382
1958,0,57.894737,100,100,57.894737,27.272728,-.75,12.5,.68394738,18.847376,13.032514
1959,0,44.444447,100,100,61.111111,44.444447,-1,0,.73111111,15.277534,2.7884586
1960,0,50,91.666672,100,66.666672,7.1428576,-.75,12.5,.71194446,19.564192,16.376335
1961,0,36.842106,90.909096,100,55.555557,21.428572,-.66666669,16.666668,.6823684,20.226107,20.202774
1962,0,33.333336,100,100,71.428574,21.428572,-.80000001,0,.72928572,17.493526,13.587064
1963,0,63.15789,93.333336,100,78.947372,25,-.80000001,10,.71631581,20.359247,12.666885
1964,0,56.25,100,100,62.5,8.333334,-.14285715,42.857143,.7784375,18.389494,32.729626
1965,0,60.000004,100,100,70,43.75,-1,0,.78525001,16.942669,6.6133356
1966,5.8823528,58.823532,91.666672,100,52.941177,33.333336,-.25,37.5,.74735296,18.058226,29.598701
1967,0,61.904762,93.75,95.238098,66.666672,44.444447,-.27272728,36.363636,.80642855,17.518122,28.442919
1968,5.5555558,50,100,100,61.111111,53.333336,-.42857143,28.57143,.8238889,14.651739,20.649113
1969,0,36.363636,100,100,70,56.25,-.66666669,16.666668,.59704548,23.00358,19.55727
1970,0,40,95.238098,100,53.333336,54.545456,-.81818181,9.090909,.66166669,22.792564,17.203396
1971,3.3333335,33.333336,100,100,63.333332,60.000004,-.71428573,14.285715,.63733333,23.95323,19.417248
1972,6.4516125,51.6129,100,100,58.064514,67.85714,-.78571427,7.6923079,.49516129,29.227505,21.919872
1973,0,46.666668,90,100,46.666668,78.260872,-.38461539,30.769232,.50783336,29.589119,31.383137
1974,13.333334,46.666668,95.238098,94.736847,50,82.14286,-.66666669,16.666668,.48833334,27.333256,23.184423
1975,9.6774187,58.064514,95.833328,100,43.333332,85.185188,-.7647059,11.764706,.48806453,41.200062,15.164864
1976,11.111112,38.888889,95,100,58.333332,85.185188,-.66666669,16.666668,.47125,41.436279,24.785749
1977,22.857143,48.57143,96.428574,100,60.000004,96.875,-.38461539,30.769232,.46271428,39.397156,33.720818
1978,15.625,31.25,100,100,56.25,100,-.55555558,22.222223,.45203125,41.242748,30.116146
1979,18.75,31.25,100,100,59.375,100,.2,60.000004,.45203125,38.041721,48.322876
1980,12.5,43.75,91.666672,90.909096,53.125,96.55172,-.53846157,23.076923,.45203125,35.54451,28.628468
1981,26.470589,44.117649,91.304352,92.307693,52.941177,93.75,-.5714286,21.428572,.42764705,37.183453,28.392714
1982,15.625,37.5,100,92.307693,56.25,100,-.81818181,9.090909,.41015625,36.352654,18.244434
1983,20.588236,32.352943,100,92.85714,55.882351,96.428574,.090909094,54.545456,.43014705,32.954983,44.382023
1984,21.212122,42.424244,94.736847,84.615387,60.606064,88,-.5,25,.42803031,40.888638,33.011658
1985,24.242424,45.454548,94.736847,96.969696,53.125,93.333336,-.5,23.076923,.42803031,30.428686,28.781981
1986,30.303032,39.39394,94.736847,94.117645,54.545456,96.428574,-.63636363,18.181818,.3948485,36.876755,26.96876
1987,22.222223,27.777779,95.652176,86.95652,61.111111,90.322578,-.55555558,22.222223,.40958333,38.002071,30.587193
1988,25.714287,31.428572,95.454544,95.454544,70.588234,92.85714,-.33333334,33.333336,.41028571,38.831459,35.838619
1989,31.428572,34.285717,95.833328,86.95652,62.857143,93.75,.11111111,55.555557,.41414285,37.70047,49.065937
1990,25,50,92,82.14286,72.222221,96,-.29411766,35.294117,.34847221,37.205688,36.361595
1991,26.190477,42.857143,89.655174,84.848488,73.809525,93.939392,-.23076923,38.46154,.32964286,37.638794,37.73782
1992,18.421053,47.368423,85.185188,93.548386,68.421051,100,-.26666668,35.714287,.2811842,39.65527,36.984341
1993,30.769232,35.897438,75,91.428574,79.487183,100,-.21428572,38.46154,.28602564,36.757217,36.698788
1994,23.076923,30.769232,96.153847,88.571426,71.794876,100,-.2,40,.31948718,37.135876,37.4939
1995,36.842106,26.31579,86.206894,94.285713,76.315788,100,-.14285715,42.857143,.32486841,34.469578,36.255333
1996,32.43243,40.540539,84.615387,85.714287,78.37838,100,-.090909094,45.454548,.32918918,37.2696,40.77319
1997,35.294117,38.888889,91.666672,91.428574,63.888889,100,-.35714287,30.769232,.31055555,35.435112,33.132515
1998,38.888889,27.777779,100,97.222221,72.222221,100,-.60000002,20,.31055555,34.716312,32.351997
1999,31.428572,28.57143,94.736847,0,71.428574,100,-.71428573,14.285715,.31614286,49.036919,24.179016
2000,25.714287,28.57143,92,80,71.428574,100,-.25,37.5,.31614286,38.868847,39.66663
2001,41.176472,11.764706,66.666672,85.294113,61.764706,100,-1,0,.31073529,36.080708,35.06398
2002,37.142857,17.142859,83.333328,74.285713,68.571434,100,-.33333334,33.333336,.30899999,38.445705,37.396732
2003,37.142857,17.142859,100,77.14286,57.14286,100,-.33333334,33.333336,.30899999,38.159775,37.188557
2004,40,2.8571429,100,89.285713,74.285713,100,-1,0,.30899999,40.061024,38.46183
,,0,,,,,,,,,
